timestamp,Tc(1),Tc(2),Tc(3),Tc(4),Tc(5),Tc(6)
2022-01-11 12:11:00,15.34395,15.30509,14.94221,14.64782,,21.07382
2022-01-11 12:12:00,15.36142,15.38995,15.05412,14.84501,,21.07873
2022-01-11 12:13:00,15.38164,15.41846,14.94345,14.7962,,21.07777
2022-01-11 12:14:00,15.41886,15.47943,15.27214,15.11354,,21.07908
2022-01-11 12:15:00,15.54549,15.58306,15.31248,15.08255,,21.0832
2022-01-11 12:16:00,15.57548,15.67769,15.12003,,,21.08285
2022-01-11 12:17:00,15.20699,15.32563,15.14503,,,21.07107
2022-01-11 12:18:00,15.54246,15.64406,15.37355,,,21.08556
2022-01-11 12:19:00,15.00162,15.14452,15.18191,15.02772,,21.07604
2022-01-11 12:20:00,15.08547,15.24665,15.39497,15.28722,,21.07768
2022-01-11 12:21:00,14.93001,15.10728,15.31737,15.1551,,21.08725
2022-01-11 12:22:00,14.87108,15.04572,15.48308,15.29497,,21.08465
2022-01-11 12:23:00,15.24053,15.32221,15.37869,15.2241,,21.09945
2022-01-11 12:24:00,15.08526,15.19849,15.19455,15.00418,,21.09741
2022-01-11 12:25:00,15.32187,15.3996,15.29154,15.07728,,21.10053
2022-01-11 12:26:00,15.57149,15.63004,15.52748,15.32565,,21.09146
2022-01-11 12:27:00,15.42891,15.52369,15.72993,,,21.10125
2022-01-11 12:28:00,15.20052,15.29163,15.83389,,,21.08929
2022-01-11 12:29:00,15.01266,15.15596,15.91794,15.88288,,21.10441
2022-01-11 12:30:00,15.06026,15.22065,15.95173,15.9599,,21.08362
2022-01-11 12:31:00,14.98594,15.0815,16.00994,15.98734,,21.10642
2022-01-11 12:32:00,15.10463,15.1518,16.01162,15.99505,,21.07941
2022-01-11 12:33:00,14.50441,14.71791,16.05471,16.0362,,21.11135
2022-01-11 12:34:00,14.67845,14.83783,16.04908,16.03957,,21.08997
2022-01-11 12:35:00,14.82846,14.92967,15.70244,15.59446,,21.11047
2022-01-11 12:36:00,15.04387,15.12472,15.71069,15.58624,,21.10333
2022-01-11 12:37:00,15.55075,15.56968,15.7098,15.51854,,21.10423
2022-01-11 12:38:00,15.60724,15.68775,15.93723,15.74878,,21.09853
2022-01-11 12:39:00,15.22898,15.3735,15.94717,15.8914,,21.11118
2022-01-11 12:40:00,15.50606,15.53373,15.50109,15.45901,,21.09994
2022-01-11 12:41:00,15.23117,15.34327,15.2619,15.10332,,21.09564
2022-01-11 12:42:00,15.25907,15.33499,15.37749,15.156,,21.11558
2022-01-11 12:43:00,15.29929,15.49257,14.94545,14.85621,,21.10531
2022-01-11 12:44:00,15.23049,15.37643,14.87869,14.68176,,21.1095
2022-01-11 12:45:00,15.06821,15.19612,15.05341,14.65687,,21.10384
2022-01-11 12:46:00,15.12119,15.1837,15.49775,15.01561,,21.10589
2022-01-11 12:47:00,15.64339,15.58391,15.97395,15.57053,,21.0993
2022-01-11 12:48:00,15.77542,15.80859,15.87963,15.733,,21.10827
2022-01-11 12:49:00,15.93835,15.97519,15.60244,15.48533,,21.09586
2022-01-11 12:50:00,15.22154,15.37698,15.61012,15.44272,,21.08519
2022-01-11 12:51:00,15.13455,15.22109,15.3176,15.22426,,21.09999
2022-01-11 12:52:00,15.25987,15.26112,15.38787,15.25176,,21.08434
2022-01-11 12:53:00,15.71537,15.73086,15.47527,15.26686,,21.10497
2022-01-11 12:54:00,15.40739,15.53289,15.44771,15.32845,,21.09661
2022-01-11 12:55:00,15.45035,15.51342,15.59336,15.41695,,21.10624
2022-01-11 12:56:00,15.54767,15.65135,15.20868,15.08489,,21.0949
2022-01-11 12:57:00,14.81429,14.92901,14.87653,14.6829,,21.09348
2022-01-11 12:58:00,15.07965,15.1048,15.0759,14.85083,,21.09321
2022-01-11 12:59:00,15.13637,15.24294,15.19232,15.00538,,21.10998
2022-01-11 13:00:00,14.98005,15.11786,15.47059,15.37813,,21.08827
2022-01-11 13:01:00,15.2646,15.36428,15.3013,15.16534,,21.0949
2022-01-11 13:02:00,15.49243,15.53406,15.56282,15.2943,,21.10008
2022-01-11 13:03:00,15.31632,15.45572,15.7858,15.62213,,21.09535
2022-01-11 13:04:00,15.2982,15.40905,15.65232,15.52708,,21.10349
2022-01-11 13:05:00,15.27986,15.36992,15.41009,15.24398,,21.10892
2022-01-11 13:06:00,15.26052,15.34707,15.38655,15.2087,,21.09551
2022-01-11 13:07:00,15.5658,15.64479,15.44087,15.28278,,21.10449
2022-01-11 13:08:00,15.7043,15.70861,15.4492,15.33765,,21.10031
2022-01-11 13:09:00,15.73908,15.74192,15.52059,15.36181,,21.09776
2022-01-11 13:10:00,15.75082,15.74773,15.77298,15.61607,,21.11053
2022-01-11 13:11:00,15.77456,15.8274,15.69335,15.5533,,21.11359
2022-01-11 13:12:00,15.80485,15.8351,15.49451,15.39237,,21.10859
2022-01-11 13:13:00,15.83359,15.82004,15.53158,15.42762,,21.10307
2022-01-11 13:14:00,15.81656,15.83754,15.36064,15.22114,,21.10101
2022-01-11 13:15:00,15.47222,15.56609,15.33108,15.12981,,21.1354
2022-01-11 13:16:00,15.44763,15.58585,15.28679,15.10874,,21.11728
2022-01-11 13:17:00,15.14398,15.28597,15.36322,15.19078,,21.11432
2022-01-11 13:18:00,15.20616,15.29262,15.3735,15.21332,,21.13122
2022-01-11 13:19:00,15.54127,15.64603,15.62168,15.41553,,21.11441
2022-01-11 13:20:00,15.40798,15.51842,15.53399,15.44837,,21.10346
2022-01-11 13:21:00,15.12628,15.25277,15.31143,15.08996,,21.12064
2022-01-11 13:22:00,15.32827,15.38383,15.55716,15.25456,,21.11427
2022-01-11 13:23:00,15.62132,15.67399,15.32849,15.1469,,21.10768
2022-01-11 13:24:00,15.85388,15.89117,15.44826,15.2032,,21.1269
2022-01-11 13:25:00,15.43001,15.61759,15.61177,15.34073,,21.09159
2022-01-11 13:26:00,15.61562,15.642,15.71026,15.49861,,21.10413
2022-01-11 13:27:00,15.7738,15.8496,15.99463,15.92672,,21.09086
2022-01-11 13:28:00,15.69264,15.80745,16.079,16.05829,,21.07287
2022-01-11 13:29:00,15.61439,15.7101,16.16527,16.16199,,21.09085
2022-01-11 13:30:00,15.53155,15.65953,16.34957,16.33335,,21.11085
2022-01-11 13:31:00,15.2532,15.42336,16.55586,16.54233,,21.08829
2022-01-11 13:32:00,15.31257,15.39801,16.58784,16.68169,,21.07994
2022-01-11 13:33:00,15.65737,15.70211,16.46277,16.49805,,21.09051
2022-01-11 13:34:00,15.43793,15.55447,16.41896,16.46095,,21.08428
2022-01-11 13:35:00,15.59916,15.61625,16.48866,16.43434,,21.09025
2022-01-11 13:36:00,15.54292,15.65044,16.51345,16.94813,,21.08611
2022-01-11 13:37:00,15.59799,15.74248,16.61931,16.93542,,21.07471
2022-01-11 13:38:00,15.65097,15.78226,16.37118,16.90492,,21.06614
2022-01-11 13:39:00,15.51589,15.6635,16.77622,17.39041,,21.07154
2022-01-11 13:40:00,15.9339,15.96779,17.4221,17.77999,,21.07819
2022-01-11 13:41:00,15.75501,15.86725,17.25382,17.19646,,21.07375
2022-01-11 13:42:00,15.5316,15.676,17.25106,16.42316,,21.08666
2022-01-11 13:43:00,15.22089,15.39866,17.86631,16.75666,,21.07908
2022-01-11 13:44:00,15.31717,15.44736,17.08679,16.78889,,21.07668
2022-01-11 13:45:00,15.5217,15.67773,16.45698,16.47435,,21.06378
2022-01-11 13:46:00,15.33479,15.52639,16.2022,16.20815,,21.08149
2022-01-11 13:47:00,15.44613,15.5943,16.31498,16.1029,,21.07408
2022-01-11 13:48:00,15.47536,15.64633,16.94517,16.83237,,21.08188
2022-01-11 13:49:00,15.61393,15.76156,17.11268,17.17756,,21.09799
2022-01-11 13:50:00,15.71776,15.7701,16.66295,16.85428,,21.10279
2022-01-11 13:51:00,15.87913,15.98612,16.17814,16.20511,,21.0849
2022-01-11 13:52:00,15.77394,15.86859,15.95428,15.86131,,21.10706
2022-01-11 13:53:00,15.74611,15.80305,15.83473,15.68412,,21.07693
2022-01-11 13:54:00,15.55772,15.67004,15.63131,15.49637,,21.09567
2022-01-11 13:55:00,15.61865,15.63255,15.54799,15.32408,,21.08708
2022-01-11 13:56:00,15.70173,15.75021,15.8406,15.53748,,21.0873
2022-01-11 13:57:00,15.79236,15.84232,15.77678,15.62245,,21.08849
